,code,name,brtc_code,signgu_code
,1100000000,서울특별시,11,
,1111000000,서울특별시 종로구,,110
,1114000000,서울특별시 중구,,140
,1117000000,서울특별시 용산구,,170
,1120000000,서울특별시 성동구,,200
,1121500000,서울특별시 광진구,,215
,1123000000,서울특별시 동대문구,,230
,1126000000,서울특별시 중랑구,,260
,1129000000,서울특별시 성북구,,290
,1130500000,서울특별시 강북구,,305
,1132000000,서울특별시 도봉구,,320
,1135000000,서울특별시 노원구,,350
,1138000000,서울특별시 은평구,,380
,1141000000,서울특별시 서대문구,,410
,1144000000,서울특별시 마포구,,440
,1147000000,서울특별시 양천구,,470
,1150000000,서울특별시 강서구,,500
,1153000000,서울특별시 구로구,,530
,1154500000,서울특별시 금천구,,545
,1156000000,서울특별시 영등포구,,560
,1159000000,서울특별시 동작구,,590
,1162000000,서울특별시 관악구,,620
,1165000000,서울특별시 서초구,,650
,1168000000,서울특별시 강남구,,680
,1171000000,서울특별시 송파구,,710
,1174000000,서울특별시 강동구,,740
,2600000000,부산광역시,26,
,2611000000,부산광역시 중구,,110
,2614000000,부산광역시 서구,,140
,2617000000,부산광역시 동구,,170
,2620000000,부산광역시 영도구,,200
,2623000000,부산광역시 부산진구,,230
,2626000000,부산광역시 동래구,,260
,2629000000,부산광역시 남구,,290
,2632000000,부산광역시 북구,,320
,2635000000,부산광역시 해운대구,,350
,2638000000,부산광역시 사하구,,380
,2641000000,부산광역시 금정구,,410
,2644000000,부산광역시 강서구,,440
,2647000000,부산광역시 연제구,,470
,2650000000,부산광역시 수영구,,500
,2653000000,부산광역시 사상구,,530
,2671000000,부산광역시 기장군,,710
,2700000000,대구광역시,27,
,2711000000,대구광역시 중구,,110
,2714000000,대구광역시 동구,,140
,2717000000,대구광역시 서구,,170
,2720000000,대구광역시 남구,,200
,2723000000,대구광역시 북구,,230
,2726000000,대구광역시 수성구,,260
,2729000000,대구광역시 달서구,,290
,2771000000,대구광역시 달성군,,710
,2800000000,인천광역시,28,
,2811000000,인천광역시 중구,,110
,2814000000,인천광역시 동구,,140
,2817000000,인천광역시 미추홀구,,170
,2818500000,인천광역시 연수구,,185
,2820000000,인천광역시 남동구,,200
,2823700000,인천광역시 부평구,,237
,2824500000,인천광역시 계양구,,245
,2826000000,인천광역시 서구,,260
,2871000000,인천광역시 강화군,,710
,2872000000,인천광역시 옹진군,,720
,2900000000,광주광역시,29,
,2911000000,광주광역시 동구,,110
,2914000000,광주광역시 서구,,140
,2915500000,광주광역시 남구,,155
,2917000000,광주광역시 북구,,170
,2920000000,광주광역시 광산구,,200
,3000000000,대전광역시,30,
,3011000000,대전광역시 동구,,110
,3014000000,대전광역시 중구,,140
,3017000000,대전광역시 서구,,170
,3020000000,대전광역시 유성구,,200
,3023000000,대전광역시 대덕구,,230
,3100000000,울산광역시,31,
,3111000000,울산광역시 중구,,110
,3114000000,울산광역시 남구,,140
,3117000000,울산광역시 동구,,170
,3120000000,울산광역시 북구,,200
,3171000000,울산광역시 울주군,,710
,3611000000,세종특별자치시,36,110
,4100000000,경기도,41,
,4111000000,경기도 수원시,,110
,4111100000,경기도 수원시 장안구,,111
,4111300000,경기도 수원시 권선구,,113
,4111500000,경기도 수원시 팔달구,,115
,4111700000,경기도 수원시 영통구,,117
,4113000000,경기도 성남시,,130
,4113100000,경기도 성남시 수정구,,131
,4113300000,경기도 성남시 중원구,,133
,4113500000,경기도 성남시 분당구,,135
,4115000000,경기도 의정부시,,150
,4117000000,경기도 안양시,,170
,4117100000,경기도 안양시 만안구,,171
,4117300000,경기도 안양시 동안구,,173
,4119000000,경기도 부천시,,190
,4121000000,경기도 광명시,,210
,4122000000,경기도 평택시,,220
,4125000000,경기도 동두천시,,250
,4127000000,경기도 안산시,,270
,4127100000,경기도 안산시 상록구,,271
,4127300000,경기도 안산시 단원구,,273
,4128000000,경기도 고양시,,280
,4128100000,경기도 고양시 덕양구,,281
,4128500000,경기도 고양시 일산동구,,285
,4128700000,경기도 고양시 일산서구,,287
,4129000000,경기도 과천시,,290
,4131000000,경기도 구리시,,310
,4136000000,경기도 남양주시,,360
,4137000000,경기도 오산시,,370
,4139000000,경기도 시흥시,,390
,4141000000,경기도 군포시,,410
,4143000000,경기도 의왕시,,430
,4145000000,경기도 하남시,,450
,4146000000,경기도 용인시,,460
,4146100000,경기도 용인시 처인구,,461
,4146300000,경기도 용인시 기흥구,,463
,4146500000,경기도 용인시 수지구,,465
,4148000000,경기도 파주시,,480
,4150000000,경기도 이천시,,500
,4155000000,경기도 안성시,,550
,4157000000,경기도 김포시,,570
,4159000000,경기도 화성시,,590
,4161000000,경기도 광주시,,610
,4163000000,경기도 양주시,,630
,4165000000,경기도 포천시,,650
,4167000000,경기도 여주시,,670
,4180000000,경기도 연천군,,800
,4182000000,경기도 가평군,,820
,4183000000,경기도 양평군,,830
,4200000000,강원도,42,
,4211000000,강원도 춘천시,,110
,4213000000,강원도 원주시,,130
,4215000000,강원도 강릉시,,150
,4217000000,강원도 동해시,,170
,4219000000,강원도 태백시,,190
,4221000000,강원도 속초시,,210
,4223000000,강원도 삼척시,,230
,4272000000,강원도 홍천군,,720
,4273000000,강원도 횡성군,,730
,4275000000,강원도 영월군,,750
,4276000000,강원도 평창군,,760
,4277000000,강원도 정선군,,770
,4278000000,강원도 철원군,,780
,4279000000,강원도 화천군,,790
,4280000000,강원도 양구군,,800
,4281000000,강원도 인제군,,810
,4282000000,강원도 고성군,,820
,4283000000,강원도 양양군,,830
,4300000000,충청북도,43,
,4311000000,충청북도 청주시,,110
,4311100000,충청북도 청주시 상당구,,111
,4311200000,충청북도 청주시 서원구,,112
,4311300000,충청북도 청주시 흥덕구,,113
,4311400000,충청북도 청주시 청원구,,114
,4313000000,충청북도 충주시,,130
,4315000000,충청북도 제천시,,150
