location,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
전국,26141,26135,26156,26152,26146,26142,26382,26331,26367,26333,26324,26336
수도권,31956,31959,31994,31996,31995,31991,32229,32163,32215,32171,32167,32188
지방권,11603,11575,11563,11545,11527,11520,11564,11550,11545,11537,11512,11506
6대광역시,13017,13006,13016,13008,13018,13011,13268,13256,13263,13238,13227,13231
5대광역시,14422,14386,14373,14347,14338,14334,14456,14438,14437,14424,14409,14405
9개도,18596,18578,18580,18567,18536,18527,18932,18900,18955,18884,18875,18841
8개도,9005,8985,8972,8963,8935,8926,8936,8926,8916,8913,8879,8871
서울특별시,45926,45940,45995,46008,46023,46026,45952,45847,45878,45886,45878,45960
경기도,23514,23497,23506,23491,23459,23449,23960,23918,24004,23900,23904,23856
인천광역시,11120,11143,11183,11200,11236,11226,11662,11657,11676,11634,11628,11644
부산광역시,16079,16057,16063,16036,16031,16022,15927,15912,15914,15891,15872,15867
대구광역시,12429,12429,12429,12429,12429,12429,12864,12864,12864,12857,12857,12823
광주광역시,11463,11463,11463,11459,11459,11459,11396,11392,11392,11388,11388,11388
대전광역시,11217,11118,11123,11118,11118,11113,11394,11345,11340,11330,11330,11384
울산광역시,14464,14345,14169,14053,13992,14004,14592,14552,14540,14569,14521,14502
세종특별자치시,5092,4990,4990,5041,5041,5041,5214,5214,5194,5194,5194,5194
강원도,5676,5676,5676,5676,5676,5676,5667,5667,5614,5620,5620,5620
충청북도,8702,8702,8699,8692,8692,8685,8712,8665,8665,8661,8593,8593
충청남도,8163,8163,8153,8152,8124,8120,8120,8120,8110,8110,8020,7993
전라북도,7881,7868,7858,7858,7858,7858,7801,7801,7796,7791,7790,7784
전라남도,9746,9750,9759,9767,9767,9767,9772,9772,9769,9766,9763,9766
경상북도,7292,7292,7292,7280,7256,7256,7253,7253,7253,7253,7265,7265
경상남도,15999,15891,15835,15801,15723,15682,15684,15673,15659,15654,15574,15570
제주특별자치도,6714,6707,6700,6693,6657,6650,6935,6912,6909,6896,6883,6864
