시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
강원도 강릉시 연곡면 영진리,357-30,0357,0030,ES프라우드,전세,66.41,202002,1,"        11,000",             0,3,2016,영진길 33
강원도 강릉시 홍제동,1035-1,1035,0001,푸르벨라 1차,전세,23.39,202002,10,"         7,000",             0,2,2016, 
강원도 강릉시 홍제동,1035-1,1035,0001,푸르벨라 1차,전세,23.39,202002,12,"         7,400",             0,2,2016, 
강원도 강릉시 홍제동,1035-1,1035,0001,푸르벨라 1차,월세,23.39,202002,14,"         3,000",            30,2,2016, 
강원도 강릉시 홍제동,1035-1,1035,0001,푸르벨라 1차,전세,23.39,202002,17,"         8,000",             0,3,2016, 
강원도 강릉시 홍제동,1019-3,1019,0003,푸르벨라 2차,월세,21.42,202002,13,           300,            44,6,,선수촌로63번길 18-15
강원도 속초시 동명동,466-42,0466,0042,설악 센트리움,전세,26.34,202002,5,"         4,500",             0,10,2005,중앙로 190
강원도 원주시 단계동,777-4,0777,0004,(777-4),전세,63.36,202002,12,"        11,000",             0,7,2017,천사로 106
강원도 원주시 단계동,853-1,0853,0001,이룸레지던스,전세,23.63,202002,8,"         5,500",             0,12,2007,북원로 2235-12
강원도 원주시 단계동,853-1,0853,0001,이룸레지던스,월세,23.63,202002,18,"         2,000",            20,12,2007,북원로 2235-12
강원도 원주시 단계동,853-1,0853,0001,이룸레지던스,전세,23.63,202002,28,"         5,500",             0,12,2007,북원로 2235-12
강원도 원주시 단계동,853-1,0853,0001,이룸레지던스,월세,29.25,202002,29,"         2,000",            25,12,2007,북원로 2235-12
강원도 원주시 단구동,998-2,0998,0002,대승노블오피스텔,월세,26.36,202002,12,           500,            34,4,2015,남원로534번길 54
강원도 원주시 단구동,998-2,0998,0002,대승노블오피스텔,전세,39.33,202002,18,"         6,000",             0,7,2015,남원로534번길 54
강원도 원주시 단구동,1610-6,1610,0006,정우월드피아,월세,50.08,202002,18,           200,            40,2,2015, 
강원도 원주시 단구동,1610-8,1610,0008,정우월드피아[102동],전세,50.08,202002,3,"        10,000",             0,8,2015, 
강원도 원주시 무실동,1721-1,1721,0001,엠시티,전세,26.97,202002,3,"         8,500",             0,3,2019,만대로 21
강원도 원주시 무실동,1721-1,1721,0001,엠시티,전세,26.96,202002,6,"         9,000",             0,2,2019,만대로 21
강원도 원주시 무실동,1721-1,1721,0001,엠시티,전세,27.41,202002,13,"         7,800",             0,3,2019,만대로 21
강원도 원주시 무실동,1721-1,1721,0001,엠시티,전세,26.85,202002,15,"         8,500",             0,3,2019,만대로 21
강원도 원주시 무실동,1721-1,1721,0001,엠시티,전세,27.41,202002,26,"         7,600",             0,3,2019,만대로 21
강원도 원주시 무실동,1721-1,1721,0001,엠시티,월세,26.97,202002,26,"         2,000",            30,4,2019,만대로 21
강원도 원주시 무실동,1721-1,1721,0001,엠시티,전세,27.4,202002,28,"         9,000",             0,2,2019,만대로 21
강원도 원주시 무실동,1736-3,1736,0003,원주무실코아루허브288,월세,25.25,202002,7,           500,            42,3,2018,시청로 89-16
강원도 원주시 무실동,1736-3,1736,0003,원주무실코아루허브288,전세,25.25,202002,8,"         7,875",             0,2,2018,시청로 89-16
강원도 원주시 무실동,1736-3,1736,0003,원주무실코아루허브288,전세,25.25,202002,17,"         6,500",             0,7,2018,시청로 89-16
강원도 원주시 무실동,1736-3,1736,0003,원주무실코아루허브288,월세,27.36,202002,17,           500,            43,4,2018,시청로 89-16
강원도 원주시 무실동,1736-3,1736,0003,원주무실코아루허브288,월세,25.25,202002,21,"         3,000",            25,2,2018,시청로 89-16
강원도 원주시 무실동,1721-6,1721,0006,채움플러스 무실1차,전세,27.36,202002,25,"         9,400",             0,7,2019,시청로 11
강원도 원주시 무실동,1850-5,1850,0005,휴먼팰리스,월세,26.26,202002,17,           500,            40,6,2017, 
강원도 원주시 무실동,1850-5,1850,0005,휴먼팰리스,월세,25.26,202002,22,           500,            50,5,2017, 
강원도 원주시 무실동,1850-5,1850,0005,휴먼팰리스,월세,28.8,202002,28,           500,            42,7,2017, 
강원도 원주시 반곡동,1903-6,1903,0006,(1903-6),월세,29.6,202002,19,"         2,500",            30,8,2017, 
강원도 원주시 반곡동,1886-2,1886,0002,골든스퀘어1차,전세,29.64,202002,27,"        10,000",             0,8,2016,혁신로 55
강원도 원주시 반곡동,1886-3,1886,0003,골든스퀘어2차,전세,29.64,202002,7,"         9,000",             0,8,2016,혁신로 61
강원도 원주시 반곡동,1880-4,1880,0004,베르지오,전세,31.14,202002,11,"         9,000",             0,5,2016,양지로 8
강원도 원주시 반곡동,1880-4,1880,0004,베르지오,월세,32.05,202002,17,"         1,000",            37,6,2016,양지로 8
강원도 원주시 반곡동,1905-1,1905,0001,이노팰리스,전세,26.69,202002,14,"         8,000",             0,8,2016,미래로 39
강원도 원주시 반곡동,1905-1,1905,0001,이노팰리스,전세,26.69,202002,14,"         7,000",             0,8,2016,미래로 39
강원도 원주시 반곡동,1905-1,1905,0001,이노팰리스,월세,26.69,202002,17,           300,            35,14,2016,미래로 39
강원도 원주시 반곡동,1905-1,1905,0001,이노팰리스,전세,26.06,202002,20,"         8,000",             0,8,2016,미래로 39
강원도 원주시 반곡동,1897-4,1897,0004,코아루시티,전세,22.48,202002,3,"         7,000",             0,5,2016,양지로 58
강원도 원주시 반곡동,1897-4,1897,0004,코아루시티,전세,22.37,202002,10,"         7,000",             0,5,2016,양지로 58
강원도 원주시 반곡동,1897-4,1897,0004,코아루시티,월세,22.48,202002,24,           300,            32,4,2016,양지로 58
강원도 원주시 반곡동,1897-4,1897,0004,코아루시티,월세,22.48,202002,24,           300,            33,4,2016,양지로 58
강원도 원주시 반곡동,1897-4,1897,0004,코아루시티,월세,22.48,202002,28,           300,            31,4,2016,양지로 58
강원도 원주시 반곡동,1905-9,1905,0009,파크팰리스,월세,27.36,202002,1,           500,            45,12,2018,황금로 34
강원도 원주시 반곡동,1905-9,1905,0009,파크팰리스,전세,27.36,202002,1,"        10,000",             0,4,2018,황금로 34
강원도 원주시 반곡동,1905-9,1905,0009,파크팰리스,전세,33.48,202002,13,"        11,000",             0,9,2018,황금로 34
강원도 원주시 반곡동,1905-9,1905,0009,파크팰리스,전세,28.08,202002,16,"         9,000",             0,5,2018,황금로 34
강원도 원주시 반곡동,1882-1,1882,0001,팰렉스골드,월세,26.45,202002,5,            80,            35,5,2017,배울로 86
강원도 원주시 우산동,86-1,0086,0001,원주퍼스티지더올림,전세,19.91,202002,14,"         7,000",             0,16,2020,상지대길 9
강원도 원주시 우산동,86-1,0086,0001,원주퍼스티지더올림,전세,19.91,202002,17,"         7,500",             0,18,2020,상지대길 9
강원도 원주시 우산동,86-1,0086,0001,원주퍼스티지더올림,전세,20.16,202002,26,"         7,000",             0,19,2020,상지대길 9
강원도 원주시 우산동,86-1,0086,0001,원주퍼스티지더올림,전세,19.91,202002,28,"         7,500",             0,13,2020,상지대길 9
강원도 원주시 지정면 신평리,1112-4,1112,0004,(1112-4),전세,28.7,202002,7,"         5,000",             0,9,2018,기업도시로 6
강원도 원주시 지정면 신평리,1112-4,1112,0004,(1112-4),전세,70.24,202002,7,"         7,500",             0,9,2018,기업도시로 6
강원도 철원군 동송읍 이평리,843-144,0843,0144,103동,전세,76.43,202002,20,"        10,000",             0,8,2016, 
강원도 철원군 동송읍 이평리,843-144,0843,0144,103동,전세,76.43,202002,20,"        10,000",             0,7,2016, 
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,전세,37.56,202002,3,"        11,000",             0,9,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,월세,20.19,202002,4,"         6,000",             5,5,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,전세,37.56,202002,10,"        11,000",             0,6,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,월세,38.47,202002,13,"         1,000",            46,19,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,전세,20.19,202002,19,"         7,350",             0,14,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,월세,38.47,202002,23,           500,            44,18,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,월세,38.47,202002,24,"         1,000",            55,10,2018,공지로 455
강원도 춘천시 온의동,514-1,0514,0001,가온펠리스,전세,22.27,202002,2,"         8,000",             0,4,2018,영서로2279번길 20
강원도 춘천시 온의동,514-1,0514,0001,가온펠리스,월세,47.75,202002,14,"         2,000",            30,6,2018,영서로2279번길 20
강원도 춘천시 온의동,587-5,0587,0005,춘천·강남하이엔드,월세,22.11,202002,8,           500,            42,5,2017,춘천로17번길 21
강원도 춘천시 온의동,587-5,0587,0005,춘천·강남하이엔드,월세,22.11,202002,10,"         2,000",            32,3,2017,춘천로17번길 21
강원도 춘천시 온의동,587-5,0587,0005,춘천·강남하이엔드,월세,22.11,202002,10,"         2,000",            32,3,2017,춘천로17번길 21
강원도 춘천시 온의동,587-5,0587,0005,춘천·강남하이엔드,월세,22.11,202002,10,"         4,000",            17,4,2017,춘천로17번길 21
강원도 춘천시 온의동,587-5,0587,0005,춘천·강남하이엔드,전세,22.11,202002,15,"         7,800",             0,4,2017,춘천로17번길 21
강원도 춘천시 온의동,587-5,0587,0005,춘천·강남하이엔드,전세,22.11,202002,16,"         8,000",             0,6,2017,춘천로17번길 21
강원도 춘천시 온의동,587-5,0587,0005,춘천·강남하이엔드,전세,22.11,202002,21,"         8,400",             0,4,2017,춘천로17번길 21
강원도 춘천시 온의동,587-5,0587,0005,춘천·강남하이엔드,월세,22.11,202002,22,           500,            40,8,2017,춘천로17번길 21
강원도 춘천시 온의동,587-5,0587,0005,춘천·강남하이엔드,월세,22.34,202002,22,           500,            40,4,2017,춘천로17번길 21
강원도 춘천시 온의동,587-5,0587,0005,춘천·강남하이엔드,월세,22.34,202002,22,           500,            39,4,2017,춘천로17번길 21
강원도 춘천시 온의동,587-5,0587,0005,춘천·강남하이엔드,전세,26.99,202002,23,"        10,500",             0,3,2017,춘천로17번길 21
강원도 춘천시 온의동,587-5,0587,0005,춘천·강남하이엔드,월세,22.11,202002,26,           500,            40,5,2017,춘천로17번길 21
강원도 춘천시 온의동,587-5,0587,0005,춘천·강남하이엔드,월세,22.11,202002,27,           500,            40,3,2017,춘천로17번길 21
강원도 춘천시 온의동,515-3,0515,0003,트리플타워,전세,39.01,202002,8,"         8,000",             0,8,2015, 
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,전세,57.92,202002,1,"        30,000",             0,27,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,전세,57.92,202002,4,"        30,000",             0,20,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,전세,82.76,202002,6,"        38,000",             0,20,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,전세,57.92,202002,11,"        30,000",             0,17,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,전세,75.94,202002,11,"        36,000",             0,4,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,전세,75.94,202002,11,"        33,000",             0,6,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,월세,82.76,202002,11,"         5,000",           110,3,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,월세,75.94,202002,12,"         2,000",           120,4,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,전세,57.92,202002,21,"        26,000",             0,18,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,전세,82.76,202002,24,"        42,500",             0,16,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,월세,57.92,202002,26,"         1,000",            95,5,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,월세,57.92,202002,29,"         2,000",            96,7,2019,덕수천2로 150
경기도 고양덕양구 동산동,368,0368,0000,e편한세상 시티 삼송3차,월세,75.93,202002,1,"         5,000",           110,18,2019,동송로 23-28
경기도 고양덕양구 동산동,368,0368,0000,e편한세상 시티 삼송3차,전세,75.94,202002,8,"        33,000",             0,18,2019,동송로 23-28
경기도 고양덕양구 동산동,368,0368,0000,e편한세상 시티 삼송3차,전세,57.92,202002,10,"        30,000",             0,16,2019,동송로 23-28
경기도 고양덕양구 동산동,368,0368,0000,e편한세상 시티 삼송3차,월세,57.92,202002,19,"        10,000",            60,6,2019,동송로 23-28
경기도 고양덕양구 동산동,368,0368,0000,e편한세상 시티 삼송3차,월세,57.92,202002,20,"         3,000",           100,25,2019,동송로 23-28
경기도 고양덕양구 동산동,368,0368,0000,e편한세상 시티 삼송3차,월세,57.92,202002,22,"         2,000",           110,12,2019,동송로 23-28
경기도 고양덕양구 동산동,368,0368,0000,e편한세상 시티 삼송3차,전세,57.92,202002,22,"        24,150",             0,18,2019,동송로 23-28
경기도 고양덕양구 동산동,369,0369,0000,이편한세상시티삼송,전세,54.32,202002,1,"        28,000",             0,11,2018,동송로 33
경기도 고양덕양구 동산동,369,0369,0000,이편한세상시티삼송,전세,54.32,202002,1,"        25,200",             0,7,2018,동송로 33
경기도 고양덕양구 동산동,369,0369,0000,이편한세상시티삼송,전세,54.32,202002,6,"        34,000",             0,25,2018,동송로 33
경기도 고양덕양구 동산동,369,0369,0000,이편한세상시티삼송,전세,77.51,202002,6,"        26,250",             0,5,2018,동송로 33
경기도 고양덕양구 동산동,369,0369,0000,이편한세상시티삼송,월세,77.51,202002,8,"        10,000",            75,24,2018,동송로 33
경기도 고양덕양구 동산동,369,0369,0000,이편한세상시티삼송,전세,77.51,202002,9,"        38,000",             0,23,2018,동송로 33
경기도 고양덕양구 동산동,369,0369,0000,이편한세상시티삼송,전세,77.51,202002,11,"        30,000",             0,17,2018,동송로 33
경기도 고양덕양구 동산동,369,0369,0000,이편한세상시티삼송,전세,54.32,202002,11,"        26,250",             0,22,2018,동송로 33
경기도 고양덕양구 동산동,369,0369,0000,이편한세상시티삼송,전세,54.32,202002,15,"        25,200",             0,19,2018,동송로 33
경기도 고양덕양구 동산동,369,0369,0000,이편한세상시티삼송,전세,54.32,202002,15,"        25,700",             0,12,2018,동송로 33
경기도 고양덕양구 동산동,369,0369,0000,이편한세상시티삼송,월세,54.32,202002,22,"         2,000",            89,24,2018,동송로 33
경기도 고양덕양구 동산동,369,0369,0000,이편한세상시티삼송,월세,69.66,202002,25,"         3,000",           120,9,2018,동송로 33
경기도 고양덕양구 동산동,369,0369,0000,이편한세상시티삼송,전세,54.32,202002,29,"        24,150",             0,6,2018,동송로 33
경기도 고양덕양구 동산동,369,0369,0000,이편한세상시티삼송,전세,77.51,202002,29,"        35,000",             0,3,2018,동송로 33
경기도 고양덕양구 동산동,369,0369,0000,이편한세상시티삼송,전세,69.66,202002,29,"        36,000",             0,17,2018,동송로 33
