행정기관코드,행정기관,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,남 인구수,남 연령구간인구수,남 0~9세,남 10~19세,남 20~29세,남 30~39세,남 40~49세,남 50~59세,남 60~69세,남 70~79세,남 80~89세,남 90~99세,남 100세 이상,여 인구수,여 연령구간인구수,여 0~9세,여 10~19세,여 20~29세,여 30~39세,여 40~49세,여 50~59세,여 60~69세,여 70~79세,여 80~89세,여 90~99세,여 100세 이상
3600000000,세종특별자치시  ,"345,373","345,373","47,239","40,970","36,245","61,103","66,258","43,404","28,280","13,762","6,924","1,132",56,"172,269","172,269","24,226","20,581","18,322","29,740","33,977","22,525","14,032","6,284","2,313",259,10,"173,104","173,104","23,013","20,389","17,923","31,363","32,281","20,879","14,248","7,478","4,611",873,46
3611000000,세종특별자치시  ,"345,373","345,373","47,239","40,970","36,245","61,103","66,258","43,404","28,280","13,762","6,924","1,132",56,"172,269","172,269","24,226","20,581","18,322","29,740","33,977","22,525","14,032","6,284","2,313",259,10,"173,104","173,104","23,013","20,389","17,923","31,363","32,281","20,879","14,248","7,478","4,611",873,46
3611025000,세종특별자치시  조치원읍,"43,120","43,120","3,413","4,225","6,390","5,376","6,989","6,778","5,173","3,061","1,470",231,14,"22,266","22,266","1,788","2,157","3,593","2,916","3,727","3,568","2,560","1,337",552,65,3,"20,854","20,854","1,625","2,068","2,797","2,460","3,262","3,210","2,613","1,724",918,166,11
3611031000,세종특별자치시  연기면,"2,605","2,605",83,114,304,306,319,548,471,265,170,23,2,"1,456","1,456",40,61,176,207,206,320,266,122,56,2,0,"1,149","1,149",43,53,128,99,113,228,205,143,114,21,2
3611032000,세종특별자치시  연동면,"3,185","3,185",105,131,309,284,339,556,683,410,304,60,4,"1,647","1,647",50,69,191,157,207,313,365,185,95,14,1,"1,538","1,538",55,62,118,127,132,243,318,225,209,46,3
3611033000,세종특별자치시  부강면,"6,170","6,170",362,369,724,680,866,"1,129",971,638,384,45,2,"3,389","3,389",183,201,471,429,526,665,481,272,145,15,1,"2,781","2,781",179,168,253,251,340,464,490,366,239,30,1
3611034000,세종특별자치시  금남면,"8,715","8,715",295,422,855,849,984,"1,645","1,761","1,140",658,100,6,"4,597","4,597",142,224,497,519,605,913,927,528,219,23,0,"4,118","4,118",153,198,358,330,379,732,834,612,439,77,6
3611035000,세종특별자치시  장군면,"6,316","6,316",199,301,895,756,887,"1,234","1,033",575,382,52,2,"3,553","3,553",100,155,543,504,591,697,538,269,140,16,0,"2,763","2,763",99,146,352,252,296,537,495,306,242,36,2
3611036000,세종특별자치시  연서면,"7,491","7,491",374,444,790,729,950,"1,320","1,345",909,552,74,4,"4,039","4,039",174,245,479,445,589,754,711,409,217,16,0,"3,452","3,452",200,199,311,284,361,566,634,500,335,58,4
3611037000,세종특별자치시  전의면,"5,768","5,768",212,411,572,528,743,"1,092",956,692,477,79,6,"3,045","3,045",109,231,326,321,446,612,515,299,173,12,1,"2,723","2,723",103,180,246,207,297,480,441,393,304,67,5
3611038000,세종특별자치시  전동면,"3,681","3,681",90,134,312,276,372,724,865,520,334,47,7,"2,003","2,003",41,70,185,178,229,426,488,256,119,9,2,"1,678","1,678",49,64,127,98,143,298,377,264,215,38,5
3611039000,세종특별자치시  소정면,"2,496","2,496",112,189,282,189,358,461,409,274,199,22,1,"1,320","1,320",56,97,169,112,215,263,216,122,66,3,1,"1,176","1,176",56,92,113,77,143,198,193,152,133,19,0
3611051000,세종특별자치시  한솔동,"19,490","19,490","2,777","3,400","1,718","2,703","4,607","2,476","1,099",474,201,33,2,"9,604","9,604","1,435","1,720",875,"1,220","2,243","1,286",539,219,55,12,0,"9,886","9,886","1,342","1,680",843,"1,483","2,364","1,190",560,255,146,21,2
3611051500,세종특별자치시  새롬동,"54,562","54,562","9,089","6,783","5,958","12,085","10,916","5,647","2,861",845,315,62,1,"26,416","26,416","4,659","3,289","2,676","5,712","5,454","2,779","1,368",397,73,9,0,"28,146","28,146","4,430","3,494","3,282","6,373","5,462","2,868","1,493",448,242,53,1
3611052000,세종특별자치시  도담동,"32,329","32,329","4,352","4,510","3,755","5,916","6,899","3,739","1,865",830,388,75,0,"15,628","15,628","2,246","2,255","1,675","2,775","3,369","1,929",890,367,106,16,0,"16,701","16,701","2,106","2,255","2,080","3,141","3,530","1,810",975,463,282,59,0
3611053000,세종특별자치시  아름동,"23,822","23,822","3,848","4,248","1,766","3,693","5,990","2,495","1,134",443,161,43,1,"11,789","11,789","1,989","2,191",907,"1,614","2,941","1,326",553,209,48,11,0,"12,033","12,033","1,859","2,057",859,"2,079","3,049","1,169",581,234,113,32,1
3611054000,세종특별자치시  종촌동,"30,031","30,031","4,998","4,143","2,666","5,868","6,331","3,078","1,805",788,310,44,0,"14,585","14,585","2,557","2,052","1,248","2,717","3,189","1,525",827,372,86,12,0,"15,446","15,446","2,441","2,091","1,418","3,151","3,142","1,553",978,416,224,32,0
3611055000,세종특별자치시  고운동,"34,420","34,420","6,321","4,602","2,634","6,998","7,339","3,315","2,198",763,206,43,1,"16,806","16,806","3,227","2,331","1,266","3,250","3,708","1,559","1,019",364,72,10,0,"17,614","17,614","3,094","2,271","1,368","3,748","3,631","1,756","1,179",399,134,33,1
3611055500,세종특별자치시  소담동,"30,976","30,976","5,617","3,120","3,078","7,557","5,722","3,449","1,693",514,177,48,1,"15,251","15,251","2,871","1,514","1,456","3,672","2,889","1,722",843,244,33,7,0,"15,725","15,725","2,746","1,606","1,622","3,885","2,833","1,727",850,270,144,41,1
3611056000,세종특별자치시  보람동,"19,560","19,560","3,337","2,419","1,962","3,964","3,862","2,229","1,198",413,145,30,1,"9,597","9,597","1,701","1,218",951,"1,835","1,959","1,123",562,207,37,4,0,"9,963","9,963","1,636","1,201","1,011","2,129","1,903","1,106",636,206,108,26,1
3611057000,세종특별자치시  대평동,"10,636","10,636","1,655","1,005","1,275","2,346","1,785","1,489",760,208,91,21,1,"5,278","5,278",858,501,638,"1,157",884,745,364,106,21,3,1,"5,358","5,358",797,504,637,"1,189",901,744,396,102,70,18,0
