단지_일련번호,임대주택유형,공급기관명,주택명,주택유형,도로명주소,총세대수,10대미만(여자),10대미만(남자),10대(여자),10대(남자),20대(여자),20대(남자),30대(여자),30대(남자),40대(여자),40대(남자),50대(여자),50대(남자),60대(여자),60대(남자),70대(여자),70대(남자),80대(여자),80대(남자),90대(여자),90대(남자),100대(여자),100대(남자)
31185244,매입임대,LH대구경북,공공리모델링(대구남구),다가구주택,대구광역시 남구 경상길 1,58,0,0,0,0,4,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
30701878,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 계명6길 34,0,0,0,0,0,1,2,0,0,0,0,4,0,2,3,0,1,0,0,0,0,0,0
31111180,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 계명7길 8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31215400,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 계명7길 8,0,0,0,0,0,6,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0
31217907,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 계명7길 8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31274650,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 계명7길 8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30701879,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 골안길 122,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2,0,1,1,0,0,0,0
31172626,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 관문시장3길 14,0,2,3,0,0,1,0,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1015,매입임대,대구도시공사,제네시스,다가구주택,대구광역시 남구 관문시장4길 47,13,0,0,0,0,0,0,0,0,1,1,1,1,0,0,7,1,1,1,0,0,0,0
30701880,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 관문시장5길 5,0,0,0,1,2,4,7,0,0,5,0,3,1,1,0,0,0,0,0,0,0,0,0
30849066,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 대경4길 20,0,1,1,2,3,2,4,0,0,4,2,2,1,3,0,0,0,1,0,0,0,0,0
