시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
강원도 강릉시 교동,254-12,0254,0012,한진,월세,72.075,202005,12,"         1,000",            35,2,1982,명륜로 69
강원도 강릉시 내곡동,267,0267,0000,기산그린타운,전세,30.59,202005,4,"         4,000",             0,4,1997,범일로 528
강원도 강릉시 내곡동,267,0267,0000,기산그린타운,월세,30.59,202005,4,"         4,000",             3,4,1997,범일로 528
강원도 강릉시 내곡동,135-2,0135,0002,해림,월세,37.68,202005,12,"         2,000",            10,3,1987,남산초교길 57
강원도 강릉시 내곡동,135-2,0135,0002,해림,월세,37.68,202005,12,"         2,000",            10,3,1987,남산초교길 57
강원도 강릉시 사천면 사천진리,24-5,0024,0005,선경,전세,49.65,202005,1,"         4,500",             0,2,1995,진리해변길 36
강원도 강릉시 포남동,1324,1324,0000,썬라이즈빌,전세,22.04,202005,8,"         7,500",             0,2,2019,난설헌로78번길 29-17
강원도 강릉시 포남동,1324,1324,0000,썬라이즈빌,전세,22.04,202005,8,"         7,500",             0,2,2019,난설헌로78번길 29-17
강원도 강릉시 포남동,314-1,0314,0001,파인빌리지,월세,22.52,202005,20,"         2,000",            30,1,2018,난설헌로78번길 29-9
강원도 강릉시 홍제동,637-13,0637,0013,에스클레스 3동,전세,32.55,202005,9,"        12,000",             0,4,2019,사임당로 129
강원도 삼척시 남양동,5-19,0005,0019,소망파크1차,월세,79.4,202005,23,           500,            45,1,1995,사대1길 18-7
강원도 속초시 교동,799-77,0799,0077,현대골든빌라,전세,45,202005,12,"         3,000",             0,3,1991,만리공원1길 4
강원도 속초시 노학동,1326,1326,0000,속초 테르바움,전세,74.3717,202005,9,"        26,500",             0,2,2020,관광로 344
강원도 속초시 노학동,1073-126,1073,0126,하이디 울산바위(별동),월세,46.873,202005,15,"         1,000",            45,3,2017,울산바위길 9-17
강원도 속초시 설악동,245-10,0245,0010,성수하우징,전세,70.83,202005,23,"         6,000",             0,2,1978,청봉로 227
강원도 속초시 조양동,590-1,0590,0001,설악빌리지,전세,72.78,202005,1,"         7,000",             0,2,1990,청대마을길 5
강원도 속초시 조양동,590-1,0590,0001,설악빌리지,전세,72.78,202005,13,"         7,500",             0,1,1990,청대마을길 5
