시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세(만원),건축년도,도로명
강원도 강릉시 교동,2**,12m미만,27,전세,202004,25,"         5,500",             0,2016,화부산로141번길
강원도 강릉시 교동,1***,12m미만,30,월세,202004,13,           200,            35,2004,율곡초교길39번길
강원도 강릉시 교동,1***,12m미만,30.03,월세,202004,2,           200,            35,2003,하슬라로206번길
강원도 강릉시 교동,9**,12m미만,35,월세,202004,14,"         1,000",            43,1961,명주로
강원도 강릉시 교동,7**,12m미만,36.36,월세,202004,25,           200,            42,2014,율곡로2953번길
강원도 강릉시 교동,1***,12m미만,42.99,월세,202004,7,           300,            45,2012,율곡초교길11번길
강원도 강릉시 교동,1**,8m미만,48.24,전세,202004,14,"         5,500",             0,1979,옥천로71번길
강원도 강릉시 교동,9**,8m미만,50,월세,202004,27,           500,            45,2004,명주로78번길
강원도 강릉시 교동,1***,12m미만,55.93,월세,202004,20,"         2,000",            40,2001,율곡초교길39번길
강원도 강릉시 교동,9**,8m미만,89.76,월세,202004,9,"         1,000",            40,1982,강릉대로159번길
강원도 강릉시 교동,7**,25m이상,106.75,월세,202004,20,"         1,500",            45,1991,율곡로
강원도 강릉시 교동,9**,8m미만,112.66,월세,202004,29,"        12,000",             5,2004,원대로8번안길
강원도 강릉시 교동,9**,12m미만,169,전세,202004,13,"         6,000",             0,,원대로8번길
강원도 강릉시 구정면 여찬리,2**,12m미만,111.47,전세,202004,21,"         8,000",             0,1998,구정중앙로
강원도 강릉시 구정면 학산리,1**,8m미만,13,월세,202004,1,           100,            20,2016,범일로
강원도 강릉시 구정면 학산리,6**,8m미만,136.06,전세,202004,6,"        24,000",             0,2018,구정옥봉길
강원도 강릉시 금학동,2*,8m미만,71.34,전세,202004,8,"         3,000",             0,1921,신대학길
강원도 강릉시 노암동,6**,8m미만,52.89,전세,202004,2,"         5,000",             0,1980,노암길
강원도 강릉시 노암동,6**,8m미만,68.49,월세,202004,26,           100,            10,1990,노암길7번길
강원도 강릉시 노암동,6**,8m미만,68.49,월세,202004,26,           400,            25,1990,노암길7번길
강원도 강릉시 노암동,6**,8m미만,69.38,전세,202004,13,"         8,000",             0,1992,남부로137번안길
강원도 강릉시 노암동,2**,8m미만,82.15,전세,202004,11,"         2,500",             0,1978,강중길6번길
강원도 강릉시 노암동,6**,8m미만,91.44,전세,202004,10,"        12,000",             0,1980,노암길
강원도 강릉시 노암동,8**,8m미만,99,전세,202004,10,"        14,000",             0,1988,남부로215번길
강원도 강릉시 노암동,2**,8m미만,148.22,월세,202004,23,           300,            40,2017,율곡로2747번길
강원도 강릉시 성남동,1**,8m미만,19.83,전세,202004,28,"         2,000",             0,2002,중앙시장3길
강원도 강릉시 성산면 구산리,2**,25m미만,99.1,전세,202004,5,"         6,000",             0,1979,구산길
강원도 강릉시 옥천동,9*,8m미만,33,월세,202004,25,"         2,000",            25,1943,옥천로23번길
강원도 강릉시 옥천동,1**,8m미만,49.23,전세,202004,10,"         4,000",             0,1980,옥천로23번안길
