id,tag,name,file,content_type,review_item_id,review_id
1,채광,6myn34gjypinb1856b88,...,image/jpeg,1,1
2,벌레,35n0h8j29oevapdieg5w,...,image/jpeg,3,1
3,파손,8b898fp05w48xcy1gqvc,...,image/jpeg,4,1
4,곰팡이,7ybb56itpja8l1h5qbhz,...,image/png,8,1
6,채광,58nk4cl7cnaabumh2uwm,...,image/jpeg,109,7
7,채광,j1sg7eey7r6n9wi4vroq,...,image/jpeg,109,7
9,채광,q2hv206mkdzqlqkyejuo,...,image/jpeg,469,27
10,환기/냄새,w9hs9cpyw2rv1nqpxwsn,...,image/jpeg,470,27
11,파손,ulsabqyh8hphvnbg7qg4,...,image/jpeg,472,27
12,방음,cziyzrenggug1k1za4vr,...,image/jpeg,473,27
13,누수,mhh75ryaggrufmfrg5n,...,image/jpeg,474,27
14,외풍,ck9w4wqy7rj8jo4dmjkl,...,image/jpeg,475,27
15,수압,e1jr8t9zfktk9fivz58s,...,image/jpeg,477,27
16,곰팡이,qbepdk9aso2qj1667ak1,...,image/jpeg,476,27
17,채광,s1t2fudcwd972kqnmm2a,...,image/jpeg,577,33
18,환기/냄새,3ypq5tkwyst4q9aba0e8,...,image/jpeg,578,33
19,외풍,9texfubqtoxnms6tkyxz,...,image/jpeg,583,33
20,치안상태,y1hhsxighgbr77vsgv1e,...,image/jpeg,588,33
21,응대,joxc52dwjv0a6hja88ul,...,image/jpeg,591,33
22,"수리 및 보완",nzyv1iv88f83tjhxeb65,...,image/jpeg,592,33
23,혜택,i6l8mzt6lslnyfx0fqyn,...,image/jpeg,593,33
29,환기/냄새,mo4qscx9wi79p0r4zaac,...,image/jpeg,614,35
33,응대,1a5yxcgtqnhbv4dh4396,...,image/jpeg,627,35
34,"수리 및 보완",4ss5sb74egmqty9iioww,...,image/jpeg,628,35
35,혜택,gcei12dv3kljz0npanyc,...,image/jpeg,629,35
47,채광,5nhtnf3jx0pt9k2m16ci,...,image/jpeg,667,38
48,방음,46e9zv32fpbz6rg68zfb,...,image/jpeg,725,41
49,수압,hsdt54eai0e4rtj7m0jn,...,image/jpeg,729,41
50,배수,2fop9jtywj2k6h5coc3d,...,image/jpeg,731,41
51,채광,rnho8lt14l93c6d65ibz,...,image/jpeg,829,47
52,채광,ko3ad8i4ls4ppfrufwzz,...,image/jpeg,829,47
53,채광,kthu1f7hqxwn75q0e0ql,...,image/jpeg,829,47
54,치안상태,olco1k0kpeidgjljt8os,...,image/jpeg,12,1
55,분리수거,oy1jw6ztyn89u3a3wxpd,...,image/jpeg,13,1
56,분리수거,uox1tw1f7hqk0ukkvg53,...,image/jpeg,13,1
57,주차장,kzco72ey2mw9nog3dw7d,...,image/jpeg,14,1
58,주차장,33dfv1ap0rwqhs5kj2mz,...,image/jpeg,14,1
59,"수리 및 보완",rz0qtmoo1k39toetcgau,...,image/jpeg,16,1
60,"수리 및 보완",7uyrf07jz4xp4vu2uw4r,...,image/jpeg,16,1
61,외풍,xyabwd5os8ol9iwqrhtj,...,image/jpeg,619,35
62,배수,xoakii63lid1xs4rdpoe,...,image/jpeg,623,35
63,배수,fj3yldbonurmiai7x2cb,...,image/jpeg,623,35
64,치안상태,ile3m6mst6v2d5m3ggwp,...,image/jpeg,624,35
65,치안상태,imbidzziyuhbc6hpw1nc,...,image/jpeg,624,35
66,치안상태,ctq6jmfcb5raitusoos9,...,image/jpeg,624,35
67,혜택,1lmiw8umg0k1i1p9a3js,...,image/jpeg,629,35
68,수압,k3k4y764q8nw43jxltal,...,image/png,891,50
69,수압,3u0dlu1vd8ozvogl4fub,...,image/png,891,50
70,채광,szoccsn80ram1u4wr68e,...,image/jpeg,613,35
71,수압,56fov5t0380jto7dxt5a,...,image/jpeg,621,35
72,채광,9copsqpyneqdloxcn6py,...,image/jpeg,919,52
73,환기/냄새,18nz9q3n202kc48z6fir,...,image/jpeg,920,52
74,외풍,vee0iqduwyv4wd6ptuyf,...,image/jpeg,925,52
75,배수,fi9uppvabwtrm88du8gk,...,image/jpeg,929,52
76,배수,emsoimtx4zehk2dv67nc,...,image/jpeg,929,52
77,응대,j903tp71n35h58m3b3tm,...,image/jpeg,933,52
78,"수리 및 보완",zmxtnhbe09u6pp43c2i1,...,image/jpeg,934,52
79,"수리 및 보완",i7cxda9auvwz1i9lj7ra,...,image/jpeg,934,52
80,"수리 및 보완",8gta0gxqdhqve0pwq2x6,...,image/jpeg,934,52
81,분리수거,f0kifrwferrsmywva2vl,...,image/jpeg,931,52
82,주차장,o6a8e4ygn6evgwjbyquq,...,image/jpeg,932,52
83,수압,obsaecqwgsje7yar8gfn,...,image/gif,927,52
84,채광,eqs6tayvchwzxoyv2xdc,...,image/jpeg,937,53
85,환기/냄새,1ali39hcakaquxl6zl7v,...,image/jpeg,938,53
86,분리수거,ehfxsmnbjeqlsyqf0y1z,...,image/jpeg,949,53
87,분리수거,4ucg73x9fdhmrrh7xb4q,...,image/jpeg,949,53
88,주차장,pfyxm5hxtfiwh2emcboq,...,image/jpeg,950,53
89,"수리 및 보완",3346nwqikpfi0syy7hsn,...,image/jpeg,952,53
90,혜택,9e647jkcdxu56ksktnmk,...,image/jpeg,953,53
91,수온,ih8qgzk9u4qsucqb1c67,...,image/jpeg,946,53
