id,editable,main_img_name,main_img,main_img_content_type,status,lat,long,address,detail_address,extra_address,bd_nm,si_nm,sgg_nm,emd_nm,room,start_year,end_year,floor,loan_1,pet,is_recommend,hourly_seasonal_txt,short_comment,long_comment,user_id,original_id,created_at,updated_at,third_party_imp,imp_status,deposit,monthly,contract_type,management_fee,management_type,parking,area_pyeong,area_square,structure,usage,floor_detail,start_date,end_date,elevator,balcony,is_rental_house,instt_nm,compet_de,hshld_co,suply_ty_nm,style_nm,suply_prvuse_ar,suply_cmnuse_ar,house_ty_nm,heat_mthd_detail_nm,buld_stle_nm,elvtr_instl_at_nm,parkng_co,bass_rent_gtn,bass_mt_rntchrg,bass_cnvrs_gtn_lmt,contract_date
1,t,NULL,NULL,NULL,등록신청,0.000000,0.000000,"오마방시 오마방구 오마방길",101호,NULL,"오마방 원룸",서울특별시,종로구,청운동,원룸,2017,2019,지상층,t,강아지,t,"오마방 원룸 올라가는 길이 급경사가 있거든요. 사진처럼 언덕이 좀 많이 가팔라요.
근데 여기가 겨울에 눈도 잘 내리는 곳인데 꽁꽁 얼어 있는 경우가 많아서 정말 조심하셔야 될 거예요...
저도 몇 번 넘어졌다는..;;
아시는 분은 다 아시겠지만, 오마방 원룸이 야구장 근처에 있는데 저는 야구를 좋아하지 않아서 한 번도 안 가봤거든 요. 가끔 행사나 경기 늦게 끝날 때가 있는데 중요한 시험이나 일정이 있을 경우 정말 스트레스 받죠...이 정도로 소리 가 크게 들릴 줄은 몰랐어요.
예전에 기찻길 근처에서도 살아봤는데, 그 소리보다 훨씬 크더라구요...ᅲ
그게 2년 전 일인데, 지금은 개선됐을지 모르겠네요.","제가 다시 입주한다 해도 좋을 정도로 기분좋게 살다가 갑니다.","나름 정성들여서 작성한 건데 꼭 되움이 되면 좋겠습니다!!
그리고, 중소기업 청년전세자금 대출이 가능한 집이라 혹시 생각해두고 계신 분은 집주인분께 잘 말씀드리면, 아마 잘 해주실 거예요ᄒᄒ
제가 살았을 때는 반려동물은 집주인 분이 절대로 안 된다고 해서...이건 좀 안타까웠습니다... 독립하면 꿈이었는데ᅲ 지금 사라졌는지는 모르겠는데, 앞에 오마방 중화반점이 대학생분들 학생증 제출하면 30%할인 해주거든요ᄏᄏ 오마방 세탁방도 학생증 제출하고 회원가입하면 20%정도 할인해줬어요!
참고하셔요!!",1,NULL,"2019-12-24 18:49:53","2020-12-01 18:14:46",f,완료,500,30,전세,10,"---
- 인터넷
- 유선TV
",0,18,59.4,철근콘크리트,가정집,1,2018-06-01,2020-01-01,t,t,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,t,51swwz21mnac44a4076j,...,image/jpeg,등록완료,36.135840,128.396714,"경상북도 구미시 대학로 3-31",대광스카이201-1,,,경상북도,구미시,양호동,원룸,2018,2018,지상층,f,,t,"겨울철 외풍이 어느정도 있어서 바람을 막아야 합니다.","짧게 지내기에 적당한 곳이었습니다.",,10,NULL,"2019-12-27 01:37:17","2019-12-28 06:25:19",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,t,,,,등록완료,35.826904,128.720580,"경상북도 경산시 펜타힐즈2로 40",202동2901호," (중산동, 펜타힐즈 더샵 2차)","펜타힐즈 더샵 2차",경상북도,경산시,중산동,아파트,2018,2019,지상층,f,,t,"빙판길과 오르막이 없어 아이들이 놀기 좋습니다.
하지만 아파트 정문이 항상 복잡합니다. 반면 큰 도로가 없어 아이들이 사고날 확률은 없습니다.","매매보다는 전세가 좋은 집이다. 분양가에 비해 프리미엄이 너무 많이 올랐습니다. ","학교와 유치원, 상가가 바로 옆에 있어 살기는 좋습니다. 
그리고 중산지가 있어 산책하기도 좋습니다.
하지만, 10년간 공사가 예정되어 있어 공사먼지로 고생할 생각을 해야합니다. ",11,NULL,"2019-12-27 06:20:16","2019-12-27 10:48:23",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,t,NULL,NULL,NULL,등록완료,36.362325,127.351221,"대전광역시 유성구 대학로159번길 36",비욘드306호,NULL,NULL,대전광역시,유성구,궁동,원룸,2017,2019,지상층,f,NULL,t,"원룸촌에 있어서 조용한 편입니다. 조금만 걸어가면 로데오 거리가 있어서 편리해요. 로데오 거리 근처인 거에 비해 조용합니다.","혼자 살기 좋은 원룸! 인테리어도 깔끔하고, 좋아요!",NULL,14,NULL,"2019-12-27 06:26:32","2020-01-15 02:52:57",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,t,pepo2x8e2ck91v8nzvwv,...,image/jpeg,등록완료,37.554625,126.942017,"서울특별시 마포구 고산길 94-6",3층,NULL,NULL,서울특별시,마포구,노고산동,투/쓰리룸,2019,2019,지상층,f,NULL,f,"집 앞 오르막길에 빙판길이 심합니다.","제발 저와 같은 피해자가 발생하지 않았으면 좋겠습니다. ","급하게 방을 알아보시는게 아니라면 반드시 이 집은 피해야 합니다.

반지하도 살고 고시원도 살았던 저지만 이 집은 정말 참기 힘들었습니다.

그리고 집주인도 느닷없이 계속 찾아오니, 이러한 부분을 참고 인내할 수 있으시다면 입주하셔도 괜찮습니다.

하지만 진짜 저와 같은 피해자가 또 발생하지 않았으면 하니, 입주하기 전 방 상태를 꼼꼼히 확인하시기 바랍니다. ",12,NULL,"2019-12-27 06:54:04","2020-01-15 02:53:51",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,t,sg2crzasykqhed6na654,...,image/jpeg,등록완료,36.350959,127.424442,"대전광역시 대덕구 한남로 35","우성주택 3층 306호",NULL,NULL,대전광역시,대덕구,오정동,원룸,2019,2019,지상층,f,NULL,t,NULL,"안전하고 편안한 집입니다!","집주인분의 품성을 잘 봐야한다고 생각합니다. ",25,NULL,"2019-12-29 06:04:44","2020-01-15 02:54:40",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,t,NULL,NULL,NULL,임시저장,37.553774,127.075911,"서울특별시 광진구 능동로27가길 18-4",203호," (군자동)",,서울특별시,광진구,군자동,원룸,2019,2019,지상층,f,,t,,,,26,NULL,"2019-12-29 08:47:23","2019-12-29 08:47:23",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,t,NULL,NULL,NULL,임시저장,35.872928,128.598905,"대구광역시 중구 교동4길 26-2",사랑채301호," (완전동)",,대구광역시,중구,완전동,원룸,2018,2019,지상층,f,,t,"앞옆으로 원룸으로 둘러쌓여 있어서 여름에 문을 열어 놓으면 일층에서 담배냄새가 잘 올라와요! ",,,24,NULL,"2019-12-29 14:38:56","2019-12-29 14:47:49",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,t,NULL,NULL,NULL,등록완료,37.598624,127.056307,"서울특별시 동대문구 천장산로7길 26-5",104호," (이문동)",NULL,서울특별시,동대문구,이문동,원룸,2019,2019,지하/반지하,f,NULL,t,"혼자 살기 좋아요~ 집주인도 친절하시고 책장  필요했는데 넣어주시더라고요!!
겨울에 온수가 약간 잘 안되는 것 빼면 좋습니다. 
집 바로 앞에 편의점도 많고 유명한 보쌈집도 있어서 잠옷입고 가서 먹기에도 좋아요","혼자 살기에 깔끔하고 가격 싸고 위치 좋고!","집주인님이 좋은 것이 정말 중요한 것 같습니다. 필요한 것도 넣어주시고...인사 잘 하며 다니면 좋아요.
",33,NULL,"2019-12-30 06:23:12","2019-12-31 05:49:38",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,t,6ev48etlfx4fmzk73hed,...,image/jpeg,등록완료,37.546379,127.072415,"서울특별시 광진구 능동로17길 19","화양동 104번지 108호",NULL,NULL,서울특별시,광진구,화양동,원룸,2019,2019,지하/반지하,f,NULL,t,"채광이 전혀 들어오지 않아서 몇시인지 알기가 힘들어요ㅠㅠㅠ 옵션으로 제습기 겸 공기청정기가 있는데, 겨울에도 많이 습한 것 같아요","실내 사진찍기에 더할나위없이 좋은 이쁜집입니다","보증금 대출받으시려면 꼭 읽어주세요!!!!! 근린생활시설로 등록이 되어있는 건축물이라 주택관련 대출이 불가능한 집이에요.. 저도 대출받아서 보증금 마련했기 때문에, 미리 알았으면 다른 집으로 했을텐데ㅠㅠ 꼭꼭 참고해주세요! ",22,NULL,"2019-12-30 17:26:39","2020-01-15 02:55:55",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
